"subject","sub_subject","book_name","author_name","page_number","text","word_count"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","211","H is independent of time. Nobody is turning magnets on and oﬀ. We also pick
a system for which only one base state is required for the description; it is an
approximation we could make for a hydrogen atom at rest, or something similar.
Equation (8.39) then says
iℏdC1
dt = H11C1.
(8.41)
Only one equation—that’s all! And if H11 is constant, this diﬀerential equation
is easily solved to give
C1 = (const)e−(i/ℏ)H11t.
(8.42)
This is the time dependence of a state with a deﬁnite energy E = H11. You see
why Hij ought to be called the energy matrix. It is the generalization of the
energy for more complex situations.
Next, to understand a little more about what the equations mean, we look at
a system which has two base states. Then Eq. (8.39) reads
iℏdC1
dt = H11C1 + H12C2,
iℏdC2
dt = H21C1 + H22C2.
(8.43)
If the H’s are again independent of time, you can easily solve these equations.
We leave you to try for fun, and we’ll come back and do them later. Yes, you
can solve the quantum mechanics without knowing the H’s, so long as they are
independent of time.
8-6 The ammonia molecule
We want now to show you how the dynamical equation of quantum mechanics
can be used to describe a particular physical circumstance. We have picked an
interesting but simple example in which, by making some reasonable guesses
about the Hamiltonian, we can work out some important—and even practical—
results. We are going to take a situation describable by two states: the ammonia
molecule.
The ammonia molecule has one nitrogen atom and three hydrogen atoms
located in a plane below the nitrogen so that the molecule has the form of a
pyramid, as drawn in Fig. 8-1(a). Now this molecule, like any other, has an
inﬁnite number of states. It can spin around any possible axis; it can be moving in
8-17","322"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","212","(a)
H
H
H
N
| 1⟩
(b)
H
H
H
N
| 2⟩
Fig. 8-1. Two equivalent geometric arrangements of the ammonia
molecule.
any direction; it can be vibrating inside, and so on, and so on. It is, therefore, not
a two-state system at all. But we want to make an approximation that all other
states remain ﬁxed, because they don’t enter into what we are concerned with at
the moment. We will consider only that the molecule is spinning around its axis
of symmetry (as shown in the ﬁgure), that it has zero translational momentum,
and that it is vibrating as little as possible. That speciﬁes all conditions except
one: there are still the two possible positions for the nitrogen atom—the nitrogen
may be on one side of the plane of hydrogen atoms or on the other, as shown in
Fig. 8-1(a) and (b). So we will discuss the molecule as though it were a two-state
system. We mean that there are only two states we are going to really worry
about, all other things being assumed to stay put. You see, even if we know that
it is spinning with a certain angular momentum around the axis and that it is
8-18","205"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","213","moving with a certain momentum and vibrating in a deﬁnite way, there are still
two possible states. We will say that the molecule is in the state | 1⟩when the
nitrogen is “up,” as in Fig. 8-1(a), and is in the state | 2⟩when the nitrogen is
“down,” as in (b). The states | 1⟩and | 2⟩will be taken as the set of base states
for our analysis of the behavior of the ammonia molecule. At any moment, the
actual state | ψ⟩of the molecule can be represented by giving C1 = ⟨1 | ψ⟩, the
amplitude to be in state | 1⟩, and C2 = ⟨2 | ψ⟩, the amplitude to be in state | 2⟩.
Then, using Eq. (8.8) we can write the state vector | ψ⟩as
| ψ⟩= | 1⟩⟨1 | ψ⟩+ | 2⟩⟨2 | ψ⟩
or
| ψ⟩= | 1⟩C1 + | 2⟩C2.
(8.44)
Now the interesting thing is that if the molecule is known to be in some state
at some instant, it will not be in the same state a little while later. The two C-
coeﬃcients will be changing with time according to the equations (8.43)—which
hold for any two-state system. Suppose, for example, that you had made some
observation—or had made some selection of the molecules—so that you know
that the molecule is initially in the state | 1⟩. At some later time, there is some
chance that it will be found in state | 2⟩. To ﬁnd out what this chance is, we
have to solve the diﬀerential equation which tells us how the amplitudes change
with time.
The only trouble is that we don’t know what to use for the coeﬃcients Hij in
Eq. (8.43). There are some things we can say, however. Suppose that once the
molecule was in the state | 1⟩there was no chance that it could ever get into | 2⟩,
and vice versa. Then H12 and H21 would both be zero, and Eq. (8.43) would
read
iℏdC1
dt = H11C1,
iℏdC2
dt = H22C2.
We can easily solve these two equations; we get
C1 = (const)e−(i/ℏ)H11t,
C2 = (const)e−(i/ℏ)H22t.
(8.45)
These are just the amplitudes for stationary states with the energies E1 = H11
and E2 = H22. We note, however, that for the ammonia molecule the two states
| 1⟩and | 2⟩have a deﬁnite symmetry. If nature is at all reasonable, the matrix
elements H11 and H22 must be equal. We’ll call them both E0, because they
8-19","414"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","214","correspond to the energy the states would have if H12 and H21 were zero. But
Eqs. (8.45) do not tell us what ammonia really does. It turns out that it is
possible for the nitrogen to push its way through the three hydrogens and ﬂip
to the other side. It is quite diﬃcult; to get half-way through requires a lot of
energy. How can it get through if it hasn’t got enough energy? There is some
amplitude that it will penetrate the energy barrier. It is possible in quantum
mechanics to sneak quickly across a region which is illegal energetically. There
is, therefore, some small amplitude that a molecule which starts in | 1⟩will get
to the state | 2⟩. The coeﬃcients H12 and H21 are not really zero. Again, by
symmetry, they should both be the same—at least in magnitude. In fact, we
already know that, in general, Hij must be equal to the complex conjugate of Hji,
so they can diﬀer only by a phase. It turns out, as you will see, that there is no
loss of generality if we take them equal to each other. For later convenience we
set them equal to a negative number; we take H12 = H21 = −A. We then have
the following pair of equations:
iℏdC1
dt = E0C1 −AC2,
(8.46)
iℏdC2
dt = E0C2 −AC1.
(8.47)
These equations are simple enough and can be solved in any number of ways.
One convenient way is the following. Taking the sum of the two, we get
iℏd
dt (C1 + C2) = (E0 −A)(C1 + C2),
whose solution is
C1 + C2 = ae−(i/ℏ)(E0−A)t.
(8.48)
Then, taking the diﬀerence of (8.46) and (8.47), we ﬁnd that
iℏd
dt (C1 −C2) = (E0 + A)(C1 −C2),
which gives
C1 −C2 = be−(i/ℏ)(E0+A)t.
(8.49)
We have called the two integration constants a and b; they are, of course, to
be chosen to give the appropriate starting condition for any particular physical
8-20","329"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","215","problem. Now, by adding and subtracting (8.48) and (8.49), we get C1 and C2:
C1(t) = a
2 e−(i/ℏ)(E0−A)t + b
2 e−(i/ℏ)(E0+A)t,
(8.50)
C2(t) = a
2 e−(i/ℏ)(E0−A)t −b
2 e−(i/ℏ)(E0+A)t.
(8.51)
They are the same except for the sign of the second term.
We have the solutions; now what do they mean? (The trouble with quan-
tum mechanics is not only in solving the equations but in understanding what
the solutions mean!) First, notice that if b = 0, both terms have the same fre-
quency ω = (E0 −A)/ℏ. If everything changes at one frequency, it means that
the system is in a state of deﬁnite energy—here, the energy (E0 −A). So there is
a stationary state of this energy in which the two amplitudes C1 and C2 are equal.
We get the result that the ammonia molecule has a deﬁnite energy (E0 −A) if
there are equal amplitudes for the nitrogen atom to be “up” and to be “down.”
There is another stationary state possible if a = 0; both amplitudes then
have the frequency (E0 + A)/ℏ. So there is another state with the deﬁnite
energy (E0 + A) if the two amplitudes are equal but with the opposite sign;
C2 = −C1. These are the only two states of deﬁnite energy. We will discuss
the states of the ammonia molecule in more detail in the next chapter; we will
mention here only a couple of things.
We conclude that because there is some chance that the nitrogen atom can ﬂip
from one position to the other, the energy of the molecule is not just E0, as we
would have expected, but that there are two energy levels (E0 + A) and (E0 −A).
Every one of the possible states of the molecule, whatever energy it has, is “split”
into two levels. We say every one of the states because, you remember, we picked
out one particular state of rotation, and internal energy, and so on. For each
possible condition of that kind there is a doublet of energy levels because of the
ﬂip-ﬂop of the molecule.
Let’s now ask the following question about an ammonia molecule. Suppose
that at t = 0, we know that a molecule is in the state | 1⟩or, in other words,
that C1(0) = 1 and C2(0) = 0. What is the probability that the molecule will
be found in the state | 2⟩at the time t, or will still be found in state | 1⟩at the
time t? Our starting condition tells us what a and b are in Eqs. (8.50) and (8.51).
Letting t = 0, we have that
C1(0) = a + b
2
= 1,
C2(0) = a −b
2
= 0.
8-21","458"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","216","Clearly, a = b = 1. Putting these values into the formulas for C1(t) and C2(t)
and rearranging some terms, we have
C1(t) = e−(i/ℏ)E0t
e(i/ℏ)At + e−(i/ℏ)At
2

,
C2(t) = e−(i/ℏ)E0t
e(i/ℏ)At −e−(i/ℏ)At
2

.
We can rewrite these as
C1(t) = e−(i/ℏ)E0t cos At
ℏ,
(8.52)
C2(t) = ie−(i/ℏ)E0t sin At
ℏ.
(8.53)
The two amplitudes have a magnitude that varies harmonically with time.
The probability that the molecule is found in state | 2⟩at the time t is the
absolute square of C2(t):
|C2(t)|2 = sin2 At
ℏ.
(8.54)
The probability starts at zero (as it should), rises to one, and then oscillates back
and forth between zero and one, as shown in the curve marked P2 of Fig. 8-2.
The probability of being in the | 1⟩state does not, of course, stay at one. It
“dumps” into the second state until the probability of ﬁnding the molecule in the
ﬁrst state is zero, as shown by the curve P1 of Fig. 8-2. The probability sloshes
back and forth between the two.
A long time ago we saw what happens when we have two equal pendulums
with a slight coupling. (See Chapter 49, Vol. I.) When we lift one back and let
go, it swings, but then gradually the other one starts to swing. Pretty soon
the second pendulum has picked up all the energy. Then, the process reverses,
and pendulum number one picks up the energy. It is exactly the same kind of
a thing. The speed at which the energy is swapped back and forth depends on
the coupling between the two pendulums—the rate at which the “oscillation” is
able to leak across. Also, you remember, with the two pendulums there are two
special motions—each with a deﬁnite frequency—which we call the fundamental
modes. If we pull both pendulums out together, they swing together at one
frequency. On the other hand, if we pull one out one way and the other out the
other way, there is another stationary mode also at a deﬁnite frequency.
8-22","344"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","217","t

units of ¯h
A

π
4
π
2
3π
4
π
5π
4
P
0
0.5
1.0
P1
P2
Fig. 8-2. The probability P1 that an ammonia molecule in state | 1⟩
at t = 0 will be found in state | 1⟩at t. The probability P2 that it will
be found in state | 2⟩.
Well, here we have a similar situation—the ammonia molecule is mathemat-
ically like the pair of pendulums. These are the two frequencies—(E0 −A)/ℏ
and (E0 + A)/ℏ—for when they are oscillating together, or oscillating opposite.
The pendulum analogy is not much deeper than the principle that the same
equations have the same solutions. The linear equations for the amplitudes (8.39)
are very much like the linear equations of harmonic oscillators. (In fact, this is
the reason behind the success of our classical theory of the index of refraction, in
which we replaced the quantum mechanical atom by a harmonic oscillator, even
though, classically, this is not a reasonable view of electrons circulating about
a nucleus.) If you pull the nitrogen to one side, then you get a superposition of
these two frequencies, and you get a kind of beat note, because the system is not
in one or the other states of deﬁnite frequency. The splitting of the energy levels
of the ammonia molecule is, however, strictly a quantum mechanical eﬀect.
The splitting of the energy levels of the ammonia molecule has important
practical applications which we will describe in the next chapter. At long last we
have an example of a practical physical problem that you can understand with
the quantum mechanics!
8-23","273"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","218","9
The Ammonia Maser
MASER = Microwave Ampliﬁcation by Stimulated Emission of Radiation
9-1 The states of an ammonia molecule
In this chapter we are going to discuss the application of quantum mechanics
to a practical device, the ammonia maser. You may wonder why we stop our
formal development of quantum mechanics to do a special problem, but you
will ﬁnd that many of the features of this special problem are quite common
in the general theory of quantum mechanics, and you will learn a great deal
by considering this one problem in detail. The ammonia maser is a device for
generating electromagnetic waves, whose operation is based on the properties of
the ammonia molecule which we discussed brieﬂy in the last chapter. We begin
by summarizing what we found there.
The ammonia molecule has many states, but we are considering it as a two-
state system, thinking now only about what happens when the molecule is in any
speciﬁc state of rotation or translation. A physical model for the two states can be
visualized as follows. If the ammonia molecule is considered to be rotating about
an axis passing through the nitrogen atom and perpendicular to the plane of the
hydrogen atoms, as shown in Fig. 9-1, there are still two possible conditions—the
nitrogen may be on one side of the plane of hydrogen atoms or on the other. We
call these two states | 1⟩and | 2⟩. They are taken as a set of base states for our
analysis of the behavior of the ammonia molecule.
In a system with two base states, any state | ψ⟩of the system can always
be described as a linear combination of the two base states; that is, there is a
certain amplitude C1 to be in one base state and an amplitude C2 to be in the
other. We can write its state vector as
| ψ⟩= | 1⟩C1 + | 2⟩C2,
(9.1)
9-1","323"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","219","| 1⟩
H
H
H
N
E
µ
| 2⟩
H
H
H
N
µ
Center
of
Mass
Dipole
Moment
Fig. 9-1.
A physical model of two base states for the ammonia
molecule. These states have the electric dipole moments µ.
where
C1 = ⟨1 | ψ⟩
and
C2 = ⟨2 | ψ⟩.
These two amplitudes change with time according to the Hamiltonian equa-
tions, Eq. (8.43). Making use of the symmetry of the two states of the ammonia
molecule, we set H11 = H22 = E0, and H12 = H21 = −A, and get the solution
[see Eqs. (8.50) and (8.51)]
C1 = a
2 e−(i/ℏ)(E0−A)t + b
2 e−(i/ℏ)(E0+A)t,
(9.2)
C2 = a
2 e−(i/ℏ)(E0−A)t −b
2 e−(i/ℏ)(E0+A)t.
(9.3)
We want now to take a closer look at these general solutions. Suppose that
the molecule was initially put into a state | ψII⟩for which the coeﬃcient b was
equal to zero. Then at t = 0 the amplitudes to be in the states | 1⟩and | 2⟩are
identical, and they stay that way for all time. Their phases both vary with time
in the same way—with the frequency (E0 −A)/ℏ. Similarly, if we were to put
the molecule into a state | ψI⟩for which a = 0, the amplitude C2 is the negative
of C1, and this relationship would stay that way forever. Both amplitudes would
9-2","229"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","220","now vary with time with the frequency (E0 + A)/ℏ. These are the only two
possibilities of states for which the relation between C1 and C2 is independent of
time.
We have found two special solutions in which the two amplitudes do not vary
in magnitude and, furthermore, have phases which vary at the same frequencies.
These are stationary states as we deﬁned them in Section 7-1, which means that
they are states of deﬁnite energy. The state | ψII⟩has the energy EII = E0 −A,
and the state | ψI⟩has the energy EI = E0 +A. They are the only two stationary
states that exist, so we ﬁnd that the molecule has two energy levels, with the
energy diﬀerence 2A. (We mean, of course, two energy levels for the assumed
state of rotation and vibration which we referred to in our initial assumptions.)†
If we hadn’t allowed for the possibility of the nitrogen ﬂipping back and forth,
we would have taken A equal to zero and the two energy levels would be on top
of each other at energy E0. The actual levels are not this way; their average
energy is E0, but they are split apart by ±A, giving a separation of 2A between
the energies of the two states. Since A is, in fact, very small, the diﬀerence in
energy is also very small.
In order to excite an electron inside an atom, the energies involved are
relatively very high—requiring photons in the optical or ultraviolet range. To
excite the vibrations of the molecules involves photons in the infrared. If you
talk about exciting rotations, the energy diﬀerences of the states correspond
to photons in the far infrared. But the energy diﬀerence 2A is lower than any
of those and is, in fact, below the infrared and well into the microwave region.
Experimentally, it has been found that there is a pair of energy levels with a
separation of 10−4 electron volt—corresponding to a frequency 24,000 megacycles.
Evidently this means that 2A = hf, with f = 24,000 megacycles (corresponding
to a wavelength of 1 1
4 cm). So here we have a molecule that has a transition
which does not emit light in the ordinary sense, but emits microwaves.
For the work that follows we need to describe these two states of deﬁnite
energy a little bit better. Suppose we were to construct an amplitude CII by
taking the sum of the two numbers C1 and C2:
CII = C1 + C2 = ⟨1 | Φ⟩+ ⟨2 | Φ⟩.
(9.4)
† In what follows it is helpful—in reading to yourself or in talking to someone else—to have
a handy way of distinguishing between the Arabic 1 and 2 and the Roman I and II. We ﬁnd it
convenient to reserve the names “one” and “two” for the Arabic numbers, and to call I and II
by the names “eins” and “zwei” (although “unus” and “duo” might be more logical!).
9-3","494"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","221","What would that mean? Well, this is just the amplitude to ﬁnd the state | Φ⟩in a
new state | II⟩in which the amplitudes of the original base states are equal. That
is, writing CII = ⟨II | Φ⟩, we can abstract the | Φ⟩away from Eq. (9.4)—because
it is true for any Φ—and get
⟨II | = ⟨1 | + ⟨2 |,
which means the same as
| II⟩= | 1⟩+ | 2⟩.
(9.5)
The amplitude for the state | II⟩to be in the state | 1⟩is
⟨1 | II⟩= ⟨1 | 1⟩+ ⟨1 | 2⟩,
which is, of course, just 1, since | 1⟩and | 2⟩are base states. The amplitude for
the state | II⟩to be in the state | 2⟩is also 1, so the state | II⟩is one which has
equal amplitudes to be in the two base states | 1⟩and | 2⟩.
We are, however, in a bit of trouble. The state | II⟩has a total probability
greater than one of being in some base state or other. That simply means,
however, that the state vector is not properly “normalized.” We can take care of
that by remembering that we should have ⟨II | II⟩= 1, which must be so for any
state. Using the general relation that
⟨χ | Φ⟩=
X
i
⟨χ | i⟩⟨i | Φ⟩,
letting both Φ and χ be the state II, and taking the sum over the base states
| 1⟩and | 2⟩, we get that
⟨II | II⟩= ⟨II | 1⟩⟨1 | II⟩+ ⟨II | 2⟩⟨2 | II⟩.
This will be equal to one as it should if we change our deﬁnition of CII—in
Eq. (9.4)—to read
CII =
1
√
2 [C1 + C2].
In the same way we can construct an amplitude
CI =
1
√
2 [C1 −C2],
9-4","303"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","222","or
CI =
1
√
2 [⟨1 | Φ⟩−⟨2 | Φ⟩].
(9.6)
This amplitude is the projection of the state | Φ⟩into a new state | I⟩which has
opposite amplitudes to be in the states | 1⟩and | 2⟩. Namely, Eq. (9.6) means
the same as
⟨I | =
1
√
2 [⟨1 | −⟨2 |],
or
| I⟩=
1
√
2 [| 1⟩−| 2⟩],
(9.7)
from which it follows that
⟨1 | I⟩=
1
√
2 = −⟨2 | I⟩.
Now the reason we have done all this is that the states | I⟩and | II⟩can be
taken as a new set of base states which are especially convenient for describing the
stationary states of the ammonia molecule. You remember that the requirement
for a set of base states is that
⟨i | j⟩= δij.
We have already ﬁxed things so that
⟨I | I⟩= ⟨II | II⟩= 1.
You can easily show from Eqs. (9.5) and (9.7) that
⟨I | II⟩= ⟨II | I⟩= 0.
The amplitudes CI = ⟨I | Φ⟩and CII = ⟨II | Φ⟩for any state Φ to be in our
new base states | I⟩and | II⟩must also satisfy a Hamiltonian equation with the
form of Eq. (8.39). In fact, if we just subtract the two equations (9.2) and (9.3)
and diﬀerentiate with respect to t, we see that
iℏdCI
dt = (E0 + A)CI = EICI.
(9.8)
And taking the sum of Eqs. (9.2) and (9.3), we see that
iℏdCII
dt
= (E0 −A)CII = EIICII.
(9.9)
9-5","255"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","223","Using | I⟩and | II⟩for base states, the Hamiltonian matrix has the simple form
HI,I = EI,
HI,II = 0,
HII,I = 0,
HII,II = EII.
Note that each of the Eqs. (9.8) and (9.9) look just like what we had in Section 8-6
for the equation of a one-state system. They have a simple exponential time
dependence corresponding to a single energy. As time goes on, the amplitudes to
be in each state act independently.
The two stationary states | ψI⟩and | ψII⟩we found above are, of course,
solutions of Eqs. (9.8) and (9.9). The state | ψI⟩(for which C1 = −C2) has
CI = e−(i/ℏ)(E0+A)t,
CII = 0.
(9.10)
And the state | ψII⟩(for which C1 = C2) has
CI = 0,
CII = e−(i/ℏ)(E0−A)t.
(9.11)
Remember that the amplitudes in Eq. (9.10) are
CI = ⟨I | ψI⟩,
and
CII = ⟨II | ψI⟩;
so Eq. (9.10) means the same thing as
| ψI⟩= | I⟩e−(i/ℏ)(E0+A)t.
That is, the state vector of the stationary state | ψI⟩is the same as the state
vector of the base state | I⟩except for the exponential factor appropriate to the
energy of the state. In fact at t = 0
| ψI⟩= | I⟩;
the state | I⟩has the same physical conﬁguration as the stationary state of
energy E0 + A. In the same way, we have for the second stationary state that
| ψII⟩= | II⟩e−(i/ℏ)(E0−A)t.
The state | II⟩is just the stationary state of energy E0 −A at t = 0. Thus
our two new base states | I⟩and | II⟩have physically the form of the states of
9-6","270"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","224","deﬁnite energy, with the exponential time factor taken out so that they can be
time-independent base states. (In what follows we will ﬁnd it convenient not
to have to distinguish always between the stationary states | ψI⟩and | ψII⟩and
their base states | I⟩and | II⟩, since they diﬀer only by the obvious time factors.)
In summary, the state vectors | I⟩and | II⟩are a pair of base vectors which
are appropriate for describing the deﬁnite energy states of the ammonia molecule.
They are related to our original base vectors by
| I⟩=
1
√
2 [| 1⟩−| 2⟩],
| II⟩=
1
√
2 [| 1⟩+ | 2⟩].
(9.12)
The amplitudes to be in | I⟩and | II⟩are related to C1 and C2 by
CI =
1
√
2 [C1 −C2],
CII =
1
√
2 [C1 + C2].
(9.13)
Any state at all can be represented by a linear combination of | 1⟩and | 2⟩—with
the coeﬃcients C1 and C2—or by a linear combination of the deﬁnite energy base
states | I⟩and | II⟩—with the coeﬃcients CI and CII. Thus,
| Φ⟩= | 1⟩C1 + | 2⟩C2
or
| Φ⟩= | I⟩CI + | II⟩CII.
The second form gives us the amplitudes for ﬁnding the state | Φ⟩in a state with
the energy EI = E0 + A or in a state with the energy EII = E0 −A.
9-2 The molecule in a static electric ﬁeld
If the ammonia molecule is in either of the two states of deﬁnite energy and
we disturb it at a frequency ω such that ℏω = EI −EII = 2A, the system may
make a transition from one state to the other. Or, if it is in the upper state,
it may change to the lower state and emit a photon. But in order to induce
such transitions you must have a physical connection to the states—some way of
disturbing the system. There must be some external machinery for aﬀecting the
states, such as magnetic or electric ﬁelds. In this particular case, these states are
sensitive to an electric ﬁeld. We will, therefore, look next at the problem of the
behavior of the ammonia molecule in an external electric ﬁeld.
9-7","369"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","225","To discuss the behavior in an electric ﬁeld, we will go back to the original
base system | 1⟩and | 2⟩, rather than using | I⟩and | II⟩. Suppose that there is
an electric ﬁeld in a direction perpendicular to the plane of the hydrogen atoms.
Disregarding for the moment the possibility of ﬂipping back and forth, would
it be true that the energy of this molecule is the same for the two positions
of the nitrogen atom? Generally, no. The electrons tend to lie closer to the
nitrogen than to the hydrogen nuclei, so the hydrogens are slightly positive. The
actual amount depends on the details of electron distribution. It is a complicated
problem to ﬁgure out exactly what this distribution is, but in any case the net
result is that the ammonia molecule has an electric dipole moment, as indicated
in Fig. 9-1. We can continue our analysis without knowing in detail the direction
or amount of displacement of the charge. However, to be consistent with the
notation of others, let’s suppose that the electric dipole moment is µ, with its
direction pointing from the nitrogen atom and perpendicular to the plane of the
hydrogen atoms.
Now, when the nitrogen ﬂips from one side to the other, the center of mass will
not move, but the electric dipole moment will ﬂip over. As a result of this moment,
the energy in an electric ﬁeld E will depend on the molecular orientation.† With
the assumption made above, the potential energy will be higher if the nitrogen
atom points in the direction of the ﬁeld, and lower if it is in the opposite direction;
the separation in the two energies will be 2µE.
In the discussion up to this point, we have assumed values of E0 and A
without knowing how to calculate them. According to the correct physical theory,
it should be possible to calculate these constants in terms of the positions and
motions of all the nuclei and electrons. But nobody has ever done it. Such a
system involves ten electrons and four nuclei and that’s just too complicated a
problem. As a matter of fact, there is no one who knows much more about this
molecule than we do. All anyone can say is that when there is an electric ﬁeld,
the energy of the two states is diﬀerent, the diﬀerence being proportional to the
electric ﬁeld. We have called the coeﬃcient of proportionality 2µ, but its value
must be determined experimentally. We can also say that the molecule has the
amplitude A to ﬂip over, but this will have to be measured experimentally. Nobody
can give us accurate theoretical values of µ and A, because the calculations are
too complicated to do in detail.
† We are sorry that we have to introduce a new notation. Since we have been using p and E
for momentum and energy, we don’t want to use them again for dipole moment and electric
ﬁeld. Remember, in this section µ is the electric dipole moment.
9-8","506"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","226","For the ammonia molecule in an electric ﬁeld, our description must be changed.
If we ignored the amplitude for the molecule to ﬂip from one conﬁguration to the
other, we would expect the energies of the two states | 1⟩and | 2⟩to be (E0 ±µE).
Following the procedure of the last chapter, we take
H11 = E0 + µE,
H22 = E0 −µE.
(9.14)
Also we will assume that for the electric ﬁelds of interest the ﬁeld does not aﬀect
appreciably the geometry of the molecule and, therefore, does not aﬀect the
amplitude that the nitrogen will jump from one position to the other. We can
then take that H12 and H21 are not changed; so
H12 = H21 = −A.
(9.15)
We must now solve the Hamiltonian equations, Eq. (8.43), with these new values
of Hij. We could solve them just as we did before, but since we are going to
have several occasions to want the solutions for two-state systems, let’s solve the
equations once and for all in the general case of arbitrary Hij—assuming only
that they do not change with time.
We want the general solution of the pair of Hamiltonian equations
iℏdC1
dt = H11C1 + H12C2,
(9.16)
iℏdC2
dt = H21C1 + H22C2.
(9.17)
Since these are linear diﬀerential equations with constant coeﬃcients, we can
always ﬁnd solutions which are exponential functions of the dependent variable t.
We will ﬁrst look for a solution in which C1 and C2 both have the same time
dependence; we can use the trial functions
C1 = a1e−iωt,
C2 = a2e−iωt.
Since such a solution corresponds to a state of energy E = ℏω, we may as well
write right away
C1 = a1e−(i/ℏ)Et,
(9.18)
C2 = a2e−(i/ℏ)Et,
(9.19)
9-9","292"
"Physics","Quantum Mechanics","The Feynman Lectures on Physics - Vol 3 - Quantum Mechanics","Richard Feynman","227","where E is as yet unknown and to be determined so that the diﬀerential equations
(9.16) and (9.17) are satisﬁed.
When we substitute C1 and C2 from (9.18) and (9.19) in the diﬀerential
equations (9.16) and (9.17), the derivatives give us just −iE/ℏtimes C1 or C2,
so the left sides become just EC1 and EC2. Cancelling the common exponential
factors, we get
Ea1 = H11a1 + H12a2,
Ea2 = H21a1 + H22a2.
Or, rearranging the terms, we have
(E −H11)a1 −H12a2 = 0,
(9.20)
−H21a1 + (E −H22)a2 = 0.
(9.21)
With such a set of homogeneous algebraic equations, there will be nonzero
solutions for a1 and a2 only if the determinant of the coeﬃcients of a1 and a2 is
zero, that is, if
Det
 
E −H11
−H12
−H21
E −H22
!
= 0.
(9.22)
However, when there are only two equations and two unknowns, we don’t
need such a sophisticated idea. The two equations (9.20) and (9.21) each give
a ratio for the two coeﬃcients a1 and a2, and these two ratios must be equal.
From (9.20) we have that
a1
a2
=
H12
E −H11
,
(9.23)
and from (9.21) that
a1
a2
= E −H22
H21
.
(9.24)
Equating these two ratios, we get that E must satisfy
(E −H11)(E −H22) −H12H21 = 0.
This is the same result we would get by solving Eq. (9.22). Either way, we have
a quadratic equation for E which has two solutions:
E = H11 + H22
2
±
r
(H11 −H22)2
4
+ H12H21.
(9.25)
9-10","257"
